feature,ap_max
URLSimilarityIndex,0.9954972850443954
LineOfCode,0.988936832804731
NoOfExternalRef,0.9797158529846226
NoOfImage,0.9662417962283334
NoOfJS,0.9552377858643883
NoOfSelfRef,0.9360940201084773
NoOfCSS,0.9294957826715916
LargestLineLength,0.853621652844603
NoOfOtherSpecialCharsInURL,0.7916989201084484
SpacialCharRatioInURL,0.7831107825204617
HasSocialNet,0.7806082526630432
HasCopyrightInfo,0.7630031719037395
URLLength,0.7575610487741834
NoOfLettersInURL,0.7512532847689992
URLCharProb,0.7450420867341558
LetterRatioInURL,0.725151915340196
IsHTTPS,0.7175828784174525
HasDescription,0.715202223680762
CharContinuationRate,0.6951693651009447
NoOfDegitsInURL,0.6921087503975154
DegitRatioInURL,0.6860899785584657
DomainTitleMatchScore,0.6684373186502726
IsResponsive,0.6654906449461704
HasSubmitButton,0.6462154532340246
URLTitleMatchScore,0.6454437549668139
DomainLength,0.6373160651286648
HasTitle,0.6096049588432417
NoOfiFrame,0.6064778851033508
HasHiddenFields,0.6052865590167719
NoOfEmptyRef,0.597812831888934
HasFavicon,0.5938670763666914
TLDLegitimateProb,0.5899818327824828
Robots,0.535678429914502
Pay,0.5198782929967289
NoOfSubDomain,0.4873399182182453
NoOfQMarkInURL,0.4617260754337884
Bank,0.4605464540777637
TLDLength,0.45883743406343436
NoOfEqualsInURL,0.45710936769449756
NoOfPopup,0.45073578869135067
HasPasswordField,0.44932546921933425
HasExternalFormSubmit,0.44485396070178707
NoOfSelfRedirect,0.438879372272539
NoOfURLRedirect,0.4381095411118708
Crypto,0.43461862208874563
NoOfAmpersandInURL,0.4320594534794562
IsDomainIP,0.43034956172416333
HasObfuscation,0.4297510996098108
NoOfObfuscatedChar,0.4297510996098108
ObfuscationRatio,0.42975109960981067
